Cyberincidentnum,Dyadpair,StateA,StateB,Name,interactionstartdate,method,targettype,initiator,target,cyber_objective,information_operation,objective_achievement,Concession,damage type,severity,Cyber_escalation,Ddeny/reject-,Dthreat/demand-,Diplo_Negative,Dnegotiate+,Dagreement+,Diplo_Positive,Ereduce-,Ethreat-,Eemb/sanc-,Econ_Negative,Ecoop+,Eease+,Eaid+,Econ_Positive,Mthreat-,Mdisplay-,Musage-,Mil_Negative,Mpromise+,Mcoop+,Mconfid+,Mil_Positive,Conv_descalation,Conv_escalation,
16,2365,US,Russia,White House hack,26.10.14,3,2,365,2,2,0,1,0,2,3,0,0,5,1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
16,2365,US,Russia,No Cyber,01.12.14,0,0,2,365,0,0,0,0,0,0,0,0,0,0,0,18,1,4.4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,
17,2365,US,Russia,State Dept hack,15.11.14,3,2,365,2,2,0,0,0,2,3,0,0,5,1,0,0,0,4.4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
17,2365,US,Russia,No Cyber,01.01.15,0,0,2,365,0,0,0,0,0,0,0,0,0,0,17,18,2,4.4,0,2,2,0,0,0,0,0,0,0.1,1,0,0,0,0,2,3,
18,2365,US,Russia,Yahoo breach 1,22.11.14,3,1,365,2,3,0,1,0,2,3,0,0,5,1,0,18,1,4.4,0,2,2,0,0,0,0,0,0,0,0,0,17.4,0,2,3,3,
18,2365,US,Russia,No Cyber,02.01.15,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,4.4,0,2,2,0,0,0,0,0,0,0.1,1,0,0,0,0,2,5,
19,2365,US,Russia,DoD breach,01.03.15,3,3,365,2,3,0,0,0,2,3,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,2.8,0.1,2,0,0,0,0,2,4,
19,2365,US,Russia,No Cyber,01.04.15,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,2,1,0,0,0,0,0,0,0,0,0,17.4,0,2,4,3,
20,2365,US,Russia,2016 Presidential Election/Russia_1,15.06.15,3,1,365,2,2,1,1,0,1,4,0,0,0,0,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
20,2365,US,Russia,No Cyber,01.08.15,0,0,2,365,0,0,0,0,0,0,0,6,0,1,17,18,2,0,0,2,1,0,0,0,0,0,0,0.1,1,0,0,0,0,2,3,
21,2365,US,Russia,JCS network breach,26.06.15,3,3,365,2,3,0,1,0,2,3,0,0,0,0,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
21,2365,US,Russia,ProjectSauron,02.09.15,3,1,2,365,3,0,1,0,2,3,0,6,5,2,17,18,2,0,4.2,2,2,0,0,0,0,0,2.8,0,1,0,0,0,0,2,5,
22,2365,US,Russia,ProjectSauron_A,02.09.15,3,1,2,365,3,0,1,0,2,3,0,6,5,2,17,18,2,0,4.2,2,2,0,0,0,0,0,2.8,0,1,0,0,0,0,2,5,
22,2365,US,Russia,No Cyber,01.10.15,0,0,365,2,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0.1,1,0,17.4,0,2,4,3,
23,2365,US,Russia,ProjectSauron_B,02.09.15,3,3,2,365,3,0,1,0,2,3,0,6,5,2,17,18,2,0,4.2,2,2,0,0,0,0,0,2.8,0,1,0,0,0,0,2,5,
23,2365,US,Russia,No Cyber,02.10.15,0,0,365,2,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0.1,1,0,17.4,0,2,4,3,
24,2365,US,Russia,2016 Presidential Election/Russia_2,03.04.16,3,1,365,2,2,1,1,0,1,4,1,6,5,2,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,2,3,2,
24,2365,US,Russia,No Cyber,07.09.16,0,0,2,365,0,0,0,0,0,0,1,6,5,2,17,0,1,0,4.2,2,2,0,0,0,0,0,0,0.1,1,0,0,0,0,1,5,
25,2365,US,Russia,World Doping Agency Hacks,16.09.16,3,1,365,2,2,1,1,0,2,3,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,2,3,
25,2365,US,Russia,No Cyber,17.09.16,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,0,4.2,2,2,0,0,0,0,0,0,0.1,1,0,0,0,0,2,5,
26,2365,US,Russia,PowerDuke/APT29,08.11.16,3,1,365,2,2,0,0,0,1,2,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
26,2365,US,Russia,No Cyber,09.11.16,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,2,1,0,0,17.4,1,0,2.8,0,1,0,0,0,0,3,4,
27,2365,US,Russia,Think Tank Hack,08.11.16,3,1,365,2,2,0,0,0,1,2,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
27,2365,US,Russia,No Cyber,09.11.16,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,2,1,0,0,17.4,1,0,2.8,0,1,0,0,0,0,3,4,
28,2365,US,Russia,Attack on DoD Officals,01.03.17,3,1,365,2,2,0,0,0,2,2,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,2.8,0.1,2,0,17.4,0,1,3,4,
28,2365,US,Russia,No Cyber,02.03.17,0,0,2,365,0,0,0,0,0,0,0,6,5,2,0,18,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,
29,2365,US,Russia,Wolf Creek Phishing,01.05.17,3,1,365,2,4,0,1,0,2,5,0,6,5,2,0,18,1,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,1,3,
29,2365,US,Russia,No Cyber,02.05.17,0,0,2,365,0,0,0,0,0,0,0,6,0,1,0,18,1,0,0,2,1,0,0,0,0,0,0,0.1,1,0,0,0,0,1,3,
30,2365,US,Russia,NotPetya_B,01.06.17,4,2,365,2,4,0,1,0,4,4,0,6,5,2,0,18,0,0,0,0,0,16.4,0,0,1,0,0,0.1,1,0,0,0,0,1,3,
30,2365,US,Russia,No Cyber,02.06.17,0,0,2,365,0,0,0,0,0,0,0,6,5,2,0,18,1,0,4.2,2,2,0,0,0,0,0,0,0.1,1,0,0,0,0,1,5,
31,2365,US,Russia,US Senator Hacking Attempt,01.08.17,3,2,365,2,2,0,0,0,2,1,0,6,5,2,0,18,1,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,1,3,
31,2365,US,Russia,No Cyber,02.08.17,0,0,2,365,0,0,0,0,0,0,0,6,5,2,0,18,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,
32,2365,US,Russia,Neptun (PHI),01.01.18,4,2,365,2,3,0,1,0,1,1,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,2,3,
32,2365,US,Russia,No Cyber,02.01.18,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,2,1,0,0,0,0,0,0,0.1,1,0,0,0,0,2,4,
33,2365,US,Russia,ShellRunner (PHIII),01.01.18,4,2,365,2,3,0,1,0,4,4,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,2,3,
33,2365,US,Russia,No Cyber,02.01.18,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,2,1,0,0,0,0,0,0,0.1,1,0,0,0,0,2,4,
34,2365,US,Russia,Meterpreter (PHII),01.01.18,3,2,365,2,3,0,1,0,4,4,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,2,3,
34,2365,US,Russia,No Cyber,02.01.18,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,2,1,0,0,0,0,0,0,0.1,1,0,0,0,0,2,4,
35,2365,US,Russia,Senate Domain Attack,15.08.18,3,2,365,2,2,0,0,0,2,2,0,6,0,1,17,18,2,0,0,0,0,0,0,17.4,1,0,0,0.1,1,0,0,0,0,3,2,
35,2365,US,Russia,Grid warning,01.09.18,3,2,2,365,1,1,1,0,2,5,1,6,5,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,17.4,0,1,1,3,
36,2365,US,Russia,Senate Domain Attack-Think Tanks,15.08.18,3,1,365,2,2,0,0,0,2,2,0,6,0,1,17,18,2,0,0,0,0,0,0,17.4,1,0,0,0.1,1,0,0,0,0,3,2,
36,2365,US,Russia,Grid warning,01.09.18,3,2,2,365,1,1,1,0,2,5,1,6,5,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,17.4,0,1,1,3,
37,2365,US,Russia,Grid warning,01.09.18,3,2,2,365,1,1,1,0,2,5,1,6,5,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,17.4,0,1,1,3,
37,2365,US,Russia,2018 DNC Attack,14.11.18,3,1,365,2,2,0,0,0,2,2,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,1,3,2,
38,2365,US,Russia,IRA wiper,01.11.18,4,2,2,365,4,1,1,0,1,4,1,6,5,2,17,0,1,0,4.2,2,2,0,0,0,0,0,2.8,0,1,0,17.4,0,1,2,5,
38,2365,US,Russia,2018 DNC Attack,14.11.18,3,1,365,2,2,0,0,0,2,2,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,1,3,2,
39,2365,US,Russia,DoS Impersonation Hack,01.11.18,3,2,365,2,2,0,1,0,1,4,1,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,1,3,2,
39,2365,US,Russia,IRA wiper,01.11.18,4,2,2,365,4,1,1,0,1,4,1,6,5,2,17,0,1,0,4.2,2,2,0,0,0,0,0,2.8,0,1,0,17.4,0,1,2,5,
40,2365,US,Russia,2018 DNC Attack,14.11.18,3,1,365,2,2,0,0,0,2,2,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,1,3,2,
40,2365,US,Russia,No Cyber,15.11.18,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,0,1,0,4.2,2,2,0,0,0,0,0,2.8,0,1,0,17.4,0,1,2,5,
41,2365,US,Russia,CSIS Domain Clone,31.01.19,3,1,365,2,2,0,0,0,1,1,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
41,2365,US,Russia,No Cyber,01.02.19,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,2,1,0,0,0,0,0,0,0.1,1,0,0,0,0,2,4,
42,2365,US,Russia,Exim Transfer Agent Exploit,01.08.19,4,1,365,2,3,1,1,0,2,3,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,2,3,
42,2365,US,Russia,No Cyber,02.08.19,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,
43,2365,US,Russia,SUNBURST,04.09.19,4,1,365,2,3,0,1,1,2,4,0,6,5,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,1,3,
43,2365,US,Russia,No Cyber,05.09.19,0,0,2,365,0,0,0,0,0,0,0,6,0,1,17,18,2,0,0,2,1,0,0,0,0,0,0,0.1,1,0,0,0,0,2,3,
44,2365,US,Russia,ZeroLogon Aviation Attacks,01.02.20,3,1,365,2,3,0,1,0,4,4,0,6,5,2,0,0,0,4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
44,2365,US,Russia,No Cyber,02.02.20,0,0,2,365,0,0,0,0,0,0,0,6,5,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,4,
45,2365,US,Russia,ZeroLogon SLTT Attacks,01.02.20,3,2,365,2,3,0,1,0,4,4,0,6,5,2,0,0,0,4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
45,2365,US,Russia,No Cyber,02.02.20,0,0,2,365,0,0,0,0,0,0,0,6,5,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,4,
46,2365,US,Russia,WellMess COVID Attacks,01.04.20,3,1,365,2,3,0,0,0,2,4,0,6,5,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,1,2,2,
46,2365,US,Russia,No Cyber,02.04.20,0,0,2,365,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,2,1,0,17,0,1,0,0,0,0,0,0,0,0,2,1,
47,2365,US,Russia,COVID disruption_Russia,01.05.20,3,1,365,2,1,0,1,0,1,2,0,6,0,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
47,2365,US,Russia,No Cyber,02.05.20,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
48,2630,US,Iran,Stuxnet .5_A,01.11.07,4,3,2,630,3,0,1,0,2,3,0,6,5,2,0,0,0,4.4,4.2,2,3,0,0,0,0,3,2.8,0.1,3,0,0,0,0,0,8,
48,2630,US,Iran,No Cyber,01.06.10,0,0,630,2,0,0,0,0,0,0,0,6,5,2,0,18,1,0,0,0,0,0,0,0,0,3,0,0.1,2,0,0,0,0,1,4,
49,2630,US,Iran,Snowglobe,02.04.08,3,2,2,630,3,0,0,0,2,4,0,6,5,2,17,0,1,0,4.2,2,2,0,0,0,0,3,0,0.1,2,0,0,0,0,1,6,
49,2630,US,Iran,No Cyber,01.06.07,0,0,630,2,0,0,0,0,0,0,0,6,5,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,1,3,
50,2630,US,Iran,Stuxnet_A,01.06.09,4,3,2,630,4,0,1,1,2,6,0,6,5,2,0,0,0,0,0,2,1,0,0,0,0,3,2.8,0,2,0,0,0,0,0,5,
50,2630,US,Iran,Comodo Hack,01.06.09,3,1,630,2,2,1,0,0,1,1,0,6,5,2,17,0,1,4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,
51,2630,US,Iran,Flame_A,01.06.09,4,3,2,630,3,0,1,0,2,3,1,6,5,2,0,0,0,0,0,2,1,0,0,0,0,3,2.8,0,2,0,0,0,0,0,5,
51,2630,US,Iran,Comodo Hack,01.06.09,3,1,630,2,2,1,0,0,1,1,1,6,5,2,17,0,1,4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,
52,2630,US,Iran,Twitter Hack,18.12.09,1,1,630,2,1,1,0,0,1,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,2,
52,2630,US,Iran,No Cyber,14.03.10,0,0,2,630,0,0,0,0,0,0,0,6,5,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,1,3,
53,2630,US,Iran,Iran network infiltration,24.03.11,3,2,2,630,3,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,2630,US,Iran,Comodo Hack,25.03.11,3,1,630,2,2,1,0,0,1,1,0,6,5,2,17,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,
54,2630,US,Iran,Comodo Hack,25.03.11,3,1,630,2,2,1,0,0,1,1,0,6,5,2,17,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,
54,2630,US,Iran,Duqu,13.09.11,3,3,2,630,3,0,1,0,2,3,1,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
55,2630,US,Iran,Operation Newscaster,15.04.11,3,1,630,2,2,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,2630,US,Iran,Duqu,13.09.11,3,3,2,630,3,0,1,0,2,3,1,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
56,2630,US,Iran,Duqu_A,27.12.12,3,3,2,630,3,0,1,0,2,3,0,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
56,2630,US,Iran,No Cyber,28.12.12,0,0,630,2,0,0,0,0,0,0,0,6,5,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0.1,2,0,0,0,0,0,4,
57,2630,US,Iran,Operation Ababil,28.12.12,2,1,630,2,1,1,0,0,1,2,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
57,2630,US,Iran,No Cyber,28.08.13,0,0,2,630,0,0,0,0,0,0,0,6,5,2,17,0,1,4.4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,
58,2630,US,Iran,Iranian Attacks against Universities US Pre17,01.01.13,3,1,630,2,3,0,1,0,4,4,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
58,2630,US,Iran,No Cyber,28.08.13,0,0,2,630,0,0,0,0,0,0,0,6,5,2,17,0,1,4.4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,
59,2630,US,Iran,Bowman Ave Dam,28.08.13,3,1,630,2,1,0,1,0,2,3,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
59,2630,US,Iran,No Cyber,23.09.13,0,0,2,630,0,0,0,0,0,0,0,0,5,1,17,18,2,0,0,2,1,0,0,0,0,0,0,0.1,1,0,0,0,0,2,3,
60,2630,US,Iran,NMCI hack,23.09.13,3,3,630,2,2,0,1,0,2,1,0,6,5,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,
60,2630,US,Iran,No Cyber,01.12.13,0,0,2,630,0,0,0,0,0,0,0,0,5,1,17,0,1,0,4.2,2,2,0,0,0,0,0,0,0.1,1,0,0,0,0,1,4,
61,2630,US,Iran,Saffron Rose,23.10.13,3,1,630,2,2,0,0,0,2,1,0,6,0,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
61,2630,US,Iran,No Cyber,01.02.14,0,0,2,630,0,0,0,0,0,0,0,0,5,1,17,18,2,0,4.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,
62,2630,US,Iran,Univeristy hacks,20.12.13,3,1,630,2,3,0,1,0,2,3,0,0,5,1,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,
62,2630,US,Iran,No Cyber,01.04.14,0,0,2,630,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,2,1,0,17,0,1,0,0,0.1,1,0,0,0,0,3,4,
63,2630,US,Iran,Las Vegas Sands Hack,10.02.14,4,1,630,2,1,0,1,0,1,2,0,6,5,2,17,18,2,0,0,0,0,16.4,0,0,1,0,2.8,0.1,2,0,0,0,0,3,4,
63,2630,US,Iran,No Cyber,05.11.15,0,0,2,630,0,0,0,0,0,0,0,6,5,2,17,0,1,0,0,2,1,0,17,0,1,0,0,0,0,0,0,0,0,2,3,
64,2630,US,Iran,Prince of Persia_A,04.05.15,3,2,630,2,3,0,1,0,2,3,0,6,0,1,17,18,2,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,2,2,
64,2630,US,Iran,ProjectSauron,01.12.15,3,3,2,630,3,0,1,0,2,3,0,0,5,1,17,18,2,0,0,2,1,0,0,0,0,0,0,0.1,1,0,0,0,0,2,3,
65,2630,US,Iran,ProjectSauron_C,02.09.15,3,3,2,630,3,0,1,0,2,3,0,0,5,1,17,18,2,0,0,2,1,0,0,0,0,0,0,0.1,1,0,0,0,0,2,3,
65,2630,US,Iran,State Dept phishing,01.01.16,3,2,630,2,2,0,1,0,2,2,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
66,2630,US,Iran,State Dept phishing,05.11.15,3,2,630,2,2,0,1,0,2,2,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
66,2630,US,Iran,No Cyber,02.01.16,0,0,2,630,0,0,0,0,0,0,0,0,0,0,17,0,1,4.4,4.2,2,3,0,17,0,1,0,0,0,0,0,0,0,0,2,3,
67,2630,US,Iran,OilRig A,01.12.15,3,1,630,2,3,0,1,0,2,3,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,2.8,0.1,2,0,0,0,0,2,4,
67,2630,US,Iran,No Cyber,01.08.11,0,0,2,630,0,0,0,0,0,0,0,6,5,2,17,18,2,0,4.2,2,2,16.4,17,0,2,0,0,0,0,0,0,0,0,4,4,
68,2630,US,Iran,OilRig B,01.12.15,3,2,630,2,3,0,1,0,2,3,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,2.8,0.1,2,0,0,0,0,2,4,
